ID,titles,issue,volume
3097,Women Athletes and Aspects of Psychological Well-Being and Body Image,2,46
3098,Vertical and Horizontal Peripheral Vision in Male and Female Athletes and Nonathletes,2,46
3099,Factorial Expressions of Muscular Strength,2,46
3100,Relationship between Body Composition Measures and AAHPER Test Performances in Young Boys,2,46
3101,"Validity of the 6-Minute Jog-Walk and the 600-Yard Run-Walk in Estimating Endurance Capacity in Boys, 9–12 Years of Age",2,46
3102,Visual Flight Feedback as a Determiner of Motor Response Recognition,2,46
3103,Effect of Physical Fatigue on Learning to Perform a Novel Motor Task,2,46
3104,"Pain Tolerance, Arousal, and Personality Relationships of Athletes and Nonathletes",2,46
3105,Stroboscopic Photography as a Research Instrument,2,46
3106,Comparison of the Stoelting Hand Grip Dynamometer and Linear Voltage Differential Transformer for Measuring Maximal Grip Strength,2,46
3107,The Original Table of Contents and Research Quarterly Editors,2,46
3108,Psycho-Social Study of Outstanding Female Athletes,3,46
3109,Comparison of the Personality Traits of Female Teacher Education and Physical Education Students,3,46
3110,"Relationship between Erectores Spinae Voltage and Back-Lift Strength for Isometric, Concentric, and Eccentric Contractions",3,46
3111,Socialization Effects of Participation in Sport: A Critical Review of the Research,3,46
3112,Prediction of Maximal Oxygen Intake in Preadolescent Boys from Anthropometric Parameters,3,46
3113,"Arm-Positioning Accuracy as a Function of Direction, Extent, and Presentation",3,46
3114,Responses of the Composition of Body Fat to Cardiovascular Training in College Women,3,46
3115,Multidimensional Scaling and Factor Analysis of Coaching Behavior as Perceived by High School Hockey Players,3,46
3116,Effect of Puberty on Reaction and Movement Times,3,46
3117,"An Aerobics Conditioning Program for the Fort Worth, Texas School District",3,46
3118,Interaction Analysis of Physical Education Classes,3,46
3119,An Electromyographic Investigation of the Sartorius and Tensor Fascia Latae Muscles,3,46
3120,Attitudinal Differences in Two Types of Physical Education Programs,3,46
3121,Performance Outcomes of Cross-Country Running Structured in a Voluntary Activity Class,3,46
3122,Cross Sex Effects of Subject and Audience during Motor Performance,3,46
3123,Objectives of Physical Education Expressed as Needs by University Students,3,46
3124,Effect of Target Color on Throwing Accuracy,3,46
3125,A Sequential Timing Device,3,46
3126,The Original Table of Contents and Research Quarterly Editors,3,46
3127,Influence of Static Strength and Intramuscular Occlusion on Submaximal Static Muscle Endurance,4,46
3128,Comparison of Significance Tests for Repeated Measures ANOVA Design,4,46
3129,Consistency of Submaximal Integrated Electromyographic Tracings,4,46
3130,Moral Thinking in Male Elementary Pupils as Reflected by Perception of Basketball Rules,4,46
3131,Investigation of a Training Shoe as a Supplemental Conditioning Device,4,46
3132,Development of a Device to Measure the Degree of Visual Distortion Encountered in Underwater Diving,4,46
3133,Motor and Sensory Set Effects on Grab-Start Times of Champion Female Swimmers,4,46
3134,Structural Similarity of the Motor Domain of Normal and Educable Retarded Boys,4,46
3135,Perceived Personality Impressions in Student Acceptance and Rejection Interaction Patterns in the Classroom,4,46
3136,Effects of Naturally Induced Judges' Expectations on the Ratings of Physical Performances,4,46
3137,An Electromyographic Comparison of an Isokinetic Bench Press Performed at Three Speeds,4,46
3138,Sex and Orientations toward Winning in Sport,4,46
3139,Personality and Biographical Traits of Superior and Average College Basketball Officials,4,46
3140,Body Image and the Presidency: Abraham Lincoln,4,46
3141,Circulatory and Metabolic Responses of Young Women at HR = 180 and HR = Max,4,46
3142,Effects of Perceptual-Motor Training on Preschool Children: A Multivariate Approach,4,46
3143,Method for Analyzing Serial Perceptual-Motor Responses,4,46
3144,The Original Table of Contents and Research Quarterly Editors,4,46
3145,Institutional Socialization and College Sport,1,47
3146,Fitting Biomechanical Data with Cubic Spline Functions,1,47
3147,Measuring Motor Rhythmic Ability in Children,1,47
3148,Kinesiological Determinants of the Path of the Foot during the Football Kick,1,47
3149,Effect of Isometric Training on the Elbow Flexion Force Torque of Grade Five Boys,1,47
3150,Effect of Interaction of Frequency and Intensity of Training,1,47
3151,Dynamometer for Static and Dynamic Measurements of Rotational Movements,1,47
3152,Birth Order and Preference for Dangerous Sports among Males,1,47
3153,Self-Actualization and Self-Concept among Athletes,1,47
3154,Decisionmaking in Elementary Children: Effects on Attitudes and Interaction,1,47
3155,Validation of Distance Run Tests for Elementary School Children,1,47
3156,Validity of Selected Laboratory and Field Tests of Physical Working Capacity,1,47
3157,Comparison of Segment Ratio Weights and Segment Centers of Gravity in the Living Human Male and Female,1,47
3158,Effects of Physical Training on Cardiorespiratory Fitness in Children,1,47
3159,Health Knowledge of Crisis Intervention Volunteers,1,47
3160,Psychological Scaling of AIAW Code-of-Ethics for Players,1,47
3161,Order of Acquisition of the Parts of a Serial-Motor Task,1,47
3162,Some Comments On: Health Knowledge of Young Adults from Two Socioeconomic Levels,1,47
3163,The Original Table of Contents and Research Quarterly Editors,1,47
3164,Segmental Moment of Inertia Scaling Procedures,2,47
3165,Ego Development Stages of a Sample of College Football Players,2,47
3166,Description of the Hidden Curriculum in Secondary Physical Education,2,47
3167,Movement Analysis as a Generic Ability of Physical Education Teachers and Students,2,47
3168,All-Out versus a Steady-Paced Cycling Strategy for Maximal Work Output of Short Duration,2,47
3169,"Objectivity, Validity, and Reliability of Gymnastic Judging",2,47
3170,Goal-Setting Behavior and Need Achievement in Relation to Competitive Motor Activity,2,47
3171,Pursuit-Motor Performance of Deaf and Hearing Girls,2,47
3172,Professional Self-Favorability Compared with Perceived and Actual Evaluations of Others,2,47
3173,"Time Comparison among the Cross-Over Step, Jab-Step, and Two Types of Sprinter's Starts in Base Stealing",2,47
3174,Investigation of Personality Traits of College Female Athletes and Nonathletes,2,47
3175,A Three-Year Study of the Astrand-Ryhming Step Test,2,47
3176,Comparison of Self-Concepts of College Women: Athletes and Physical Education Majors,2,47
3177,Multivariate Relationships between Leisure Activities and Personality,2,47
3178,Socialization into Sport: An Exploratory Path Analysis,2,47
3179,Personality and Leisure Time Activities,2,47
3180,"Verbal, Visual, and Kinesthetic Error Feedback in the Learning of a Simple Motor Task",2,47
3181,Description of the Movement Characteristics of Two-Year-Old Children Performing the Jump and Reach,2,47
3182,Prior Exercise and Endurance Performance: A Test of the Mobilization Hypothesis,2,47
3183,Modeling Effects on Motor Performance,2,47
3184,Effects of a Season's Training on the Body Composition of Female College Swimmers,2,47
3185,An Instrument for the Student Evaluation of Teaching Effectiveness in Physical Education Activity CoursesEffects of a Season's Training on the Body Composition of Female College Swimmers,2,47
3186,The Original Table of Contents and Research Quarterly Editors,2,47
3187,Hemodynamic Consequences of Circuit Weight Training,3,47
3188,An Instrument for Identifying Implicit Values in Physical Education Programs,3,47
3189,Post-KR Delay Intervals and Mental Practice: A Test of Adams' Closed Loop Theory,3,47
3190,Academic and Athletic Ability as Popularity Factors in Elementary School Children,3,47
3191,"Relationship between Trait and State Anxiety, Movement Satisfaction, and Participation in Physical Education Activities",3,47
3192,Leg Power and Canadian Female Volleyball Players,3,47
3193,Effects of Competency-Based Intervention on Student-Teacher and Pupil Behavior,3,47
3194,Separation Potential of Educable Retarded and Intellectually Normal Boys as a Function of Motor Performance,3,47
3195,"Sunday Sport Comes to Pennsylvania: Professional Baseball and Football Triumph over the Commonwealth's Archaic Blue Laws, 1919–1933",3,47
3196,"Bicycle Ergometer Endurance in Women Related to Maximal Leg Force, Leg Volume, and Body Composition",3,47
3197,Comparative Perceptions of Psychological Well-Being as Influenced by Sport Experience in Female Athletes,3,47
3198,Comparison of Three Predictors of State Anxiety in Competitive Situations,3,47
3199,Effects of Competition upon the Aggressive Responses of College Basketball Players and Wrestlers,3,47
3200,Effect of Knowledge of Results on Attitude Formed toward a Motor Learning Task,3,47
3201,"Fitness, Fatness, and Serum Cholesterol: An Epidemiological Study of an Entire Community",3,47
3202,Effects Ball and Background Color Have upon the Catching Performance of Elementary School Children,3,47
3203,Biomechanics of Distance Running: A Longitudinal Study,3,47
3204,"Team Orientations, Interpersonal Relations, and Team Success",3,47
3205,Effects of Different Intensities of Exercise on Intraocular Pressure,3,47
3206,"The Objectivity, Reliability, and Validity of the OSU Step Test for College Males",3,47
3207,"Children's Attitudes toward Females in Sports: Their Relationship with Sex, Grade, and Sports Participation",3,47
3208,Force-Time Parameters and Physical Growth of Boys Ages 6 to 12 Years,3,47
3209,Space Utilization: Criteria for the Selection of Playground Equipment for Children,3,47
3210,Performances by College Students in Handball Being Taught by Three Different Teaching Methods,3,47
3211,Min-By-Min Respiratory Exchange and Oxygen Uptake Kinetics during Steady-State Exercise in Subjects of High and Low Max VO2,3,47
3212,Effect of New York's Elite Athletic Clubs on American Amateur Athletic Governance—1870–1915,3,47
3213,Work Output and Heart Rate Response of Top Level New Zealand Oarsmen,3,47
3214,Personality Differences of Adult Men before and after a Physical Fitness Program,3,47
3215,An Instrument for Measuring Directional Movement Speed under Different Environmental Stimulus Conditions,3,47
3216,Stabilometer Computerized Analog Recording System for Studying Gross Motor Skill Learning,3,47
3217,Dynamic Balance in Preschool Children: Quantifying Qualitative Data,3,47
3218,Simple Coincidence-Anticipation Apparatus,3,47
3219,"Relationship among Submaximal Heart Rate, Aerobic Power, and Running Performance in Children",3,47
3220,Electronic Metronome for Free Running Subjects,3,47
3221,"Normative Data for Body Segment Weights, Volumes, and Densities in Cadaver and Living Subjects",3,47
3222,Psychological Scaling of Proposed Title IX Guidelines,3,47
3223,A Multi-Purpose Sequence Timing Unit,3,47
3224,Electronic Differentiation of Electrogoniometer Output,3,47
3225,Optimal Strategy at Decision Points in Singles Squash,3,47
3226,The Effectiveness of the “Golfer's Groove” in Improving Golfers' Scores,3,47
3227,The Original Table of Contents and Research Quarterly Editors,3,47
3228,The Relationship of Somatotype and Selected Anthropometric Measures to Basketball Performance in Highly Skilled Females,4,47
3229,Arousal and Anxiety Correlates of Gymnastic Performance,4,47
3230,Effect of Methylphenidate on Cardiorespiratory Responses in Hyperactive Children,4,47
3231,Traditional Ground Stroke versus Volley Method of Teaching Beginning Tennis,4,47
